generation,time_taken,is_valid,matches_schema,error_type
"{""company"": ""NVIDIA"", ""stock_ticker"": ""NVDA"", ""dividend"": 0.04, ""reported_revenue"": ""18122009"", ""date"": ""2023-11-21""}",6.494,True,True,
"{""email_topic"": ""EMC"", ""sender_physical_address"": ""800.761.3108"", ""sender_phone_number"": ""www.emcfinancial.com"", ""name_of_sender"": ""Jacob""}",5.289,True,True,
"{""email_topic"": ""sender_phone_number"", ""sender_physical_address"": ""sender_phone_number"", ""sender_phone_number"": ""sender_phone_number"", ""name_of_sender"": ""name_of_sender""}",4.206,True,True,
"{""item_name"": ""Ninja CM401 Specialty 10-Cup"", ""rating"": ""4.7"", ""features"": ""4.7 out of 5"", ""color"": ""Black"", ""product_dimensions"": ""8.75""}",9.38,True,True,
"{""book_title"": ""Poor Charlie"", ""author"": ""Charles T. Munger"", ""publisher"": ""Stripe Press"", ""number_of_pages"": 384.0, ""rating"": 9.0}",10.355,True,True,
"{""product_name"": ""Xbox Series X"", ""manufacturerer"": ""Microsoft"", ""graphics_card"": ""AMD RDNA 2"", ""product_model"": ""RRT-00001+QAS-00001"", ""dimensions"": ""Height:11.85\\"", ""available_games"": ""4K UHD Blu Ray Input Devices:1""}",17.153,True,True,
"{""company"": {""name"": ""Apple Inc."", ""location"": ""California, United States""}, ""product"": {""name"": ""iPhone 13"", ""release_date"": ""September 15, 2021""}}",3.193,True,True,
"{""company_name"": ""Ford"", ""product_name"": ""Mustang GT"", ""memo_date"": ""July 15, 2021""}",2.126,True,True,
"{""company"": ""NVIDIA"", ""stock_ticker"": ""NVDA"", ""dividend"": 0.04, ""reported_revenue"": ""18122009"", ""date"": ""2023-11-21""}",6.074,True,True,
"{""email_topic"": ""EMC"", ""sender_physical_address"": ""800.761.3108"", ""sender_phone_number"": ""www.emcfinancial.com"", ""name_of_sender"": ""Jacob""}",5.775,True,True,
"{""email_topic"": ""sender_phone_number"", ""sender_physical_address"": ""sender_phone_number"", ""sender_phone_number"": ""sender_phone_number"", ""name_of_sender"": ""name_of_sender""}",4.197,True,True,
"{""item_name"": ""Ninja CM401 Specialty 10-Cup"", ""rating"": ""4.7"", ""features"": ""4.7 out of 5"", ""color"": ""Black"", ""product_dimensions"": ""8.75""}",8.469,True,True,
"{""book_title"": ""Poor Charlie"", ""author"": ""Charles T. Munger"", ""publisher"": ""Stripe Press"", ""number_of_pages"": 384.0, ""rating"": 9.0}",10.263,True,True,
"{""product_name"": ""Xbox Series X"", ""manufacturerer"": ""Microsoft"", ""graphics_card"": ""AMD RDNA 2"", ""product_model"": ""RRT-00001+QAS-00001"", ""dimensions"": ""Height:11.85\\"", ""available_games"": ""4K UHD Blu Ray Input Devices:1""}",16.573,True,True,
"{""company"": {""name"": ""Apple Inc."", ""location"": ""California, United States""}, ""product"": {""name"": ""iPhone 13"", ""release_date"": ""September 15, 2021""}}",2.811,True,True,
"{""company_name"": ""Ford"", ""product_name"": ""Mustang GT"", ""memo_date"": ""July 15, 2021""}",2.64,True,True,
"{""company"": ""NVIDIA"", ""stock_ticker"": ""NVDA"", ""dividend"": 0.04, ""reported_revenue"": ""18122009"", ""date"": ""2023-11-21""}",6.496,True,True,
"{""email_topic"": ""EMC"", ""sender_physical_address"": ""800.761.3108"", ""sender_phone_number"": ""www.emcfinancial.com"", ""name_of_sender"": ""Jacob""}",5.317,True,True,
"{""email_topic"": ""sender_phone_number"", ""sender_physical_address"": ""sender_phone_number"", ""sender_phone_number"": ""sender_phone_number"", ""name_of_sender"": ""name_of_sender""}",4.757,True,True,
"{""item_name"": ""Ninja CM401 Specialty 10-Cup"", ""rating"": ""4.7"", ""features"": ""4.7 out of 5"", ""color"": ""Black"", ""product_dimensions"": ""8.75""}",8.935,True,True,
"{""book_title"": ""Poor Charlie"", ""author"": ""Charles T. Munger"", ""publisher"": ""Stripe Press"", ""number_of_pages"": 384.0, ""rating"": 9.0}",10.031,True,True,
"{""product_name"": ""Xbox Series X"", ""manufacturerer"": ""Microsoft"", ""graphics_card"": ""AMD RDNA 2"", ""product_model"": ""RRT-00001+QAS-00001"", ""dimensions"": ""Height:11.85\\"", ""available_games"": ""4K UHD Blu Ray Input Devices:1""}",16.664,True,True,
"{""company"": {""name"": ""Apple Inc."", ""location"": ""California, United States""}, ""product"": {""name"": ""iPhone 13"", ""release_date"": ""September 15, 2021""}}",2.762,True,True,
"{""company_name"": ""Ford"", ""product_name"": ""Mustang GT"", ""memo_date"": ""July 15, 2021""}",2.117,True,True,
"{""company"": ""NVIDIA"", ""stock_ticker"": ""NVDA"", ""dividend"": 0.04, ""reported_revenue"": ""18122009"", ""date"": ""2023-11-21""}",6.084,True,True,
"{""email_topic"": ""EMC"", ""sender_physical_address"": ""800.761.3108"", ""sender_phone_number"": ""www.emcfinancial.com"", ""name_of_sender"": ""Jacob""}",5.765,True,True,
"{""email_topic"": ""sender_phone_number"", ""sender_physical_address"": ""sender_phone_number"", ""sender_phone_number"": ""sender_phone_number"", ""name_of_sender"": ""name_of_sender""}",4.203,True,True,
"{""item_name"": ""Ninja CM401 Specialty 10-Cup"", ""rating"": ""4.7"", ""features"": ""4.7 out of 5"", ""color"": ""Black"", ""product_dimensions"": ""8.75""}",8.545,True,True,
"{""book_title"": ""Poor Charlie"", ""author"": ""Charles T. Munger"", ""publisher"": ""Stripe Press"", ""number_of_pages"": 384.0, ""rating"": 9.0}",9.924,True,True,
"{""product_name"": ""Xbox Series X"", ""manufacturerer"": ""Microsoft"", ""graphics_card"": ""AMD RDNA 2"", ""product_model"": ""RRT-00001+QAS-00001"", ""dimensions"": ""Height:11.85\\"", ""available_games"": ""4K UHD Blu Ray Input Devices:1""}",17.097,True,True,
"{""company"": {""name"": ""Apple Inc."", ""location"": ""California, United States""}, ""product"": {""name"": ""iPhone 13"", ""release_date"": ""September 15, 2021""}}",3.228,True,True,
"{""company_name"": ""Ford"", ""product_name"": ""Mustang GT"", ""memo_date"": ""July 15, 2021""}",2.276,True,True,
"{""company"": ""NVIDIA"", ""stock_ticker"": ""NVDA"", ""dividend"": 0.04, ""reported_revenue"": ""18122009"", ""date"": ""2023-11-21""}",6.02,True,True,
"{""email_topic"": ""EMC"", ""sender_physical_address"": ""800.761.3108"", ""sender_phone_number"": ""www.emcfinancial.com"", ""name_of_sender"": ""Jacob""}",5.363,True,True,
"{""email_topic"": ""sender_phone_number"", ""sender_physical_address"": ""sender_phone_number"", ""sender_phone_number"": ""sender_phone_number"", ""name_of_sender"": ""name_of_sender""}",4.663,True,True,
"{""item_name"": ""Ninja CM401 Specialty 10-Cup"", ""rating"": ""4.7"", ""features"": ""4.7 out of 5"", ""color"": ""Black"", ""product_dimensions"": ""8.75""}",8.418,True,True,
"{""book_title"": ""Poor Charlie"", ""author"": ""Charles T. Munger"", ""publisher"": ""Stripe Press"", ""number_of_pages"": 384.0, ""rating"": 9.0}",10.348,True,True,
"{""product_name"": ""Xbox Series X"", ""manufacturerer"": ""Microsoft"", ""graphics_card"": ""AMD RDNA 2"", ""product_model"": ""RRT-00001+QAS-00001"", ""dimensions"": ""Height:11.85\\"", ""available_games"": ""4K UHD Blu Ray Input Devices:1""}",16.705,True,True,
"{""company"": {""name"": ""Apple Inc."", ""location"": ""California, United States""}, ""product"": {""name"": ""iPhone 13"", ""release_date"": ""September 15, 2021""}}",2.782,True,True,
"{""company_name"": ""Ford"", ""product_name"": ""Mustang GT"", ""memo_date"": ""July 15, 2021""}",2.129,True,True,
"{""company"": ""NVIDIA"", ""stock_ticker"": ""NVDA"", ""dividend"": 0.04, ""reported_revenue"": ""18122009"", ""date"": ""2023-11-21""}",6.51,True,True,
"{""email_topic"": ""EMC"", ""sender_physical_address"": ""800.761.3108"", ""sender_phone_number"": ""www.emcfinancial.com"", ""name_of_sender"": ""Jacob""}",5.282,True,True,
"{""email_topic"": ""sender_phone_number"", ""sender_physical_address"": ""sender_phone_number"", ""sender_phone_number"": ""sender_phone_number"", ""name_of_sender"": ""name_of_sender""}",4.293,True,True,
"{""item_name"": ""Ninja CM401 Specialty 10-Cup"", ""rating"": ""4.7"", ""features"": ""4.7 out of 5"", ""color"": ""Black"", ""product_dimensions"": ""8.75""}",8.94,True,True,
"{""book_title"": ""Poor Charlie"", ""author"": ""Charles T. Munger"", ""publisher"": ""Stripe Press"", ""number_of_pages"": 384.0, ""rating"": 9.0}",9.943,True,True,
"{""product_name"": ""Xbox Series X"", ""manufacturerer"": ""Microsoft"", ""graphics_card"": ""AMD RDNA 2"", ""product_model"": ""RRT-00001+QAS-00001"", ""dimensions"": ""Height:11.85\\"", ""available_games"": ""4K UHD Blu Ray Input Devices:1""}",17.17,True,True,
